focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
echinococcosis,parasitic helminthiasis infectious disease,True,"A parasitic helminthiasis infectious disease that involves parasitic infection of humans and domestic animals caused by the larval stages of tapeworms of the genus Echinococcus in the liver, lungs, spleen, brain, heart and kidneys.","A parasitic infectious disease that occurs when part of the body is infested with parasitic worms such as cestodes, nematodes and trematodes."
atrophoderma vermiculata,keratosis pilaris atrophicans,True,"A keratosis pilaris atrophicans that typically presents in childhood with erythema and follicular keratotic papules that slowly progress to characteristic atrophy, which has been described as worm-eaten, reticular, or honeycomb, and occurs on the cheeks, preauricular area, and forehead.",An ichthyosis that is characterized by perifollicular keratosis and inflammation that progresses to atrophy and scarring of the facial skin.
Conn's syndrome,adrenal adenoma,True,An adrenal adenoma characterized by the over production of aldosterone.,An endocrine organ benign neoplasm that is a benign tumor of the glandular type (adenoma) in the adrenal gland.
arteriovenous malformations of the brain,central nervous system benign neoplasm,True,A central nervous system benign neoplasm that derives from endothelial cells and that is located in the brain.,A nervous system benign neoplasm that is characterized by lack of malignancy.
Libman-Sacks endocarditis,autoimmune disease of cardiovascular system,True,"An endocarditis that is characterized by Libman-Sacks vegetations, is common in patients with systemic lupus erythematosus and is commonly complicated with embolic cerebrovascular disease.",An autoimmune disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the cardiovascular system.
beriberi,thiamine deficiency disease,True,A thiamine deficiency disease that is characterized by being severe and chronic.,A nutritional deficiency disease that is characterized by low levels of thiamine.
common variable immunodeficiency,agammaglobulinemia,True,An agammaglobulinemia that is characterized by low Ig levels with phenotypically normal B cells that can proliferate but do not develop into Ig-producing cells and that esults in insufficient production of antibodies needed to respond to exposure of pathogens.,A B cell deficiency that is caused by a reduction in all types of gamma globulins.
autosomal dominant familial visceral neuropathy,intestinal pseudo-obstruction,True,An intestinal pseudo-obstruction that is inherited as an autosomal dominant trait.,A colonic disease that is characterized by bowel obstruction resulting from impairment of the muscle contractions that move food through the digestive tract.
leukorrhea,vaginal discharge,True,A vaginal discharge that is characterized by a whitish or yellow color.,A vaginal disease that is characterized by the presence of discharge.
primary ciliary dyskinesia,ciliopathy,True,"A ciliopathy that is characterized by impaired function of the cilia lining the respiratory tract (lower and upper, sinuses, Eustachian tube, middle ear) and fallopian tube.","A syndrome associated with mutations encoding defective proteins, which result in either abnormal function formation or function of cilia."
tuberculous epididymitis,epididymis disease,True,"An urogenital tuberculosis that is located in epididymis, has symptom pain and has symptom scrotal swelling.",A male reproductive system disease that is located in the epididymis.
anal carcinoma,anus cancer,True,A anus cancer that has material basis in abnormally proliferating cells derives from epithelial cells and is located in the anus.,A large intestine cancer that is located in the anus.
ankyloglossia,tongue disease,True,"A tongue disease characterized by an unusually short, thick lingual frenulum, a membrane connecting the underside of the tongue to the floor of the mouth.",A mouth disease located in the tongue.
Costello syndrome,RASopathy,True,"A RASopathy characterized by craniofacial dysmorphology, cardiac defects, mild mental retardation, and high birth weight followed by a failure to thrive and developmental delays.",A syndrome that has material basis in mutations in genes that alter the Ras subfamily and mitogen-activated protein kinases that control signal transduction.
cerebral folate receptor alpha deficiency,vitamin metabolic disorder,True,"A vitamin metabolic disorder that has material basis in mutations in the folate receptor 1 (FOLR1) gene coding for folate receptor alpha (FRalpha), is located in the brain and is characterized by progressive movement disturbance, psychomotor decline, and epilepsy.",An inherited metabolic disorder resulting from a deficiency in vitamin or vitamin cofactor transport or metabolism.
dermatographia,physical urticaria,True,A physical urticaria induced by stroking of the skin.,An urticaria induced by external physical influences.
